product_id,title,price,category,type,image_url,product_url,scrape_date
2243592,Sweatjacke - gestreift,"22,99",sweaters,other,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1741786839/productimages/2243592-1-01.jpg",https://www.c-and-a.com/de/de/shop/sweatjacke-gestreift-2243592/1,2025-03-21 22:08:18
2237930,Strick-Weste - gerippt,"22,99",sweaters,vest,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1739881624/productimages/2237930-2-01.jpg",https://www.c-and-a.com/de/de/shop/strick-weste-gerippt-2237930/2,2025-03-21 22:08:18
2235344,Strickjacke - strukturiert,"25,99",sweaters,cardigan,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1741182564/productimages/2235344-1-01.jpg",https://www.c-and-a.com/de/de/shop/strickjacke-strukturiert-2235344/1,2025-03-21 22:08:18
2234086,Strick-Weste,"25,99",sweaters,vest,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1738837629/productimages/2234086-2-01.jpg",https://www.c-and-a.com/de/de/shop/strick-weste-2234086/2,2025-03-21 22:08:18
2191838,Basic-Strickjacke,"7,99",sweaters,cardigan,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1701506705/productimages/2191838-2-01.jpg",https://www.c-and-a.com/de/de/shop/basic-strickjacke-2191838/2,2025-03-21 22:08:18
2232631,Strickjacke,"19,99",sweaters,cardigan,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1732186952/productimages/2232631-3-01.jpg",https://www.c-and-a.com/de/de/shop/strickjacke-2232631/3,2025-03-21 22:08:18
2234139,Lange Strickjacke,"25,99",sweaters,cardigan,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1742438769/productimages/2234139-3-08.jpg",https://www.c-and-a.com/de/de/shop/lange-strickjacke-2234139/3,2025-03-21 22:08:18
2243595,Strickjacke - gestreift,"19,99",sweaters,cardigan,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1741873354/productimages/2243595-1-08.jpg",https://www.c-and-a.com/de/de/shop/strickjacke-gestreift-2243595/1,2025-03-21 22:08:18
2233851,Strickjacke - gerippt - gestreift,"29,99",sweaters,cardigan,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1731585434/productimages/2233851-1-01.jpg",https://www.c-and-a.com/de/de/shop/strickjacke-gerippt-gestreift-2233851/1,2025-03-21 22:08:18
2238097,Strick-Weste,"17,99",sweaters,vest,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1741877304/productimages/2238097-1-01.jpg",https://www.c-and-a.com/de/de/shop/strick-weste-2238097/1,2025-03-21 22:08:18
